file,R2,r,trait,cs,mode,sp,cv
asi_cs1_a2_sp6_cv3.ghatREL1,0.437129724556056,0.661157866591676,asi,cs1,a2,sp6,cv3.ghatREL1
asi_cs1_a2_sp6_cv4.ghatREL1,0.323249835035161,0.568550644213127,asi,cs1,a2,sp6,cv4.ghatREL1
asi_cs1_a2_sp6_cv5.ghatREL1,0.188463296983461,0.434123596437076,asi,cs1,a2,sp6,cv5.ghatREL1
asi_cs1_a2_sp7_cv1.ghatREL1,0.0884906189752788,0.297473728210205,asi,cs1,a2,sp7,cv1.ghatREL1
asi_cs1_a2_sp7_cv2.ghatREL1,0.529991918061026,0.728005438208415,asi,cs1,a2,sp7,cv2.ghatREL1
asi_cs1_a2_sp7_cv3.ghatREL1,0.426508640364757,0.653076289850395,asi,cs1,a2,sp7,cv3.ghatREL1
asi_cs1_a2_sp7_cv4.ghatREL1,0.666211087596912,0.816217549184598,asi,cs1,a2,sp7,cv4.ghatREL1
asi_cs1_a2_sp7_cv5.ghatREL1,0.48550084485935,0.696778906726768,asi,cs1,a2,sp7,cv5.ghatREL1
asi_cs1_a2_sp8_cv1.ghatREL1,0.476469920147011,0.690268006028826,asi,cs1,a2,sp8,cv1.ghatREL1
asi_cs1_a2_sp8_cv2.ghatREL1,0.152548187407445,0.390574176575264,asi,cs1,a2,sp8,cv2.ghatREL1
asi_cs1_a2_sp8_cv3.ghatREL1,0.487502622799846,0.698213880411902,asi,cs1,a2,sp8,cv3.ghatREL1
asi_cs1_a2_sp8_cv4.ghatREL1,0.143058773567393,0.378231111316075,asi,cs1,a2,sp8,cv4.ghatREL1
asi_cs1_a2_sp8_cv5.ghatREL1,0.333892074860262,0.577833950941152,asi,cs1,a2,sp8,cv5.ghatREL1
asi_cs1_a2_sp9_cv1.ghatREL1,0.131188889796405,0.36220006874158,asi,cs1,a2,sp9,cv1.ghatREL1
asi_cs1_a2_sp9_cv2.ghatREL1,0.245736232427069,0.49571789601251,asi,cs1,a2,sp9,cv2.ghatREL1
asi_cs1_a2_sp9_cv3.ghatREL1,0.452006296379604,0.672314135192474,asi,cs1,a2,sp9,cv3.ghatREL1
asi_cs1_a2_sp9_cv4.ghatREL1,0.0492500229520786,0.221923461923427,asi,cs1,a2,sp9,cv4.ghatREL1
asi_cs1_a2_sp9_cv5.ghatREL1,0.440781938070757,0.663914104437281,asi,cs1,a2,sp9,cv5.ghatREL1
