file,R2,r,trait,cs,mode,cv,sp,type
gy_cs10_a2_cv2_sp2.ghatREL1,0.698118310214786,0.835534745067364,gy,cs10,a2,cv2,sp2.ghatREL1,random
gy_cs10_a2_cv2_sp3.ghatREL1,0.739771379707633,0.860099633593477,gy,cs10,a2,cv2,sp3.ghatREL1,random
gy_cs10_a2_cv2_sp4.ghatREL1,0.134183895410012,0.366311200224633,gy,cs10,a2,cv2,sp4.ghatREL1,random
gy_cs10_a2_cv2_sp5.ghatREL1,0.408008707905357,0.638755593247806,gy,cs10,a2,cv2,sp5.ghatREL1,random
gy_cs10_a2_cv2_sp6.ghatREL1,0.208289545601067,0.456387495009523,gy,cs10,a2,cv2,sp6.ghatREL1,random
gy_cs10_a2_cv2_sp7.ghatREL1,0.103857084216394,0.322268652239701,gy,cs10,a2,cv2,sp7.ghatREL1,random
gy_cs10_a2_cv2_sp8.ghatREL1,0.298399389344576,0.546259452407531,gy,cs10,a2,cv2,sp8.ghatREL1,random
gy_cs10_a2_cv2_sp9.ghatREL1,0.105244696179073,0.324414389599279,gy,cs10,a2,cv2,sp9.ghatREL1,random
gy_cs10_a2_cv3_sp10.ghatREL1,0.735455240366575,0.857586870449038,gy,cs10,a2,cv3,sp10.ghatREL1,random
gy_cs10_a2_cv3_sp1.ghatREL1,0.485428472232464,0.696726971081545,gy,cs10,a2,cv3,sp1.ghatREL1,random
gy_cs10_a2_cv3_sp2.ghatREL1,0.0672012240739982,0.259231988909544,gy,cs10,a2,cv3,sp2.ghatREL1,random
gy_cs10_a2_cv3_sp3.ghatREL1,0.0926155170852232,0.304327976179028,gy,cs10,a2,cv3,sp3.ghatREL1,random
gy_cs10_a2_cv3_sp4.ghatREL1,0.53977886430801,0.734696443647314,gy,cs10,a2,cv3,sp4.ghatREL1,random
gy_cs10_a2_cv3_sp5.ghatREL1,0.305866565624643,0.553052046036033,gy,cs10,a2,cv3,sp5.ghatREL1,random
gy_cs10_a2_cv3_sp6.ghatREL1,0.279618858682551,0.528789994877504,gy,cs10,a2,cv3,sp6.ghatREL1,random
gy_cs10_a2_cv3_sp7.ghatREL1,0.53789970384021,0.733416460028141,gy,cs10,a2,cv3,sp7.ghatREL1,random
gy_cs10_a2_cv3_sp8.ghatREL1,0.386003956509171,0.62129216678562,gy,cs10,a2,cv3,sp8.ghatREL1,random
gy_cs10_a2_cv3_sp9.ghatREL1,0.659704944005456,0.812222225751953,gy,cs10,a2,cv3,sp9.ghatREL1,random
gy_cs10_a2_cv4_sp10.ghatREL1,0.0949728768153379,0.308176697391834,gy,cs10,a2,cv4,sp10.ghatREL1,random
gy_cs10_a2_cv4_sp1.ghatREL1,0.640357814862474,0.800223603040097,gy,cs10,a2,cv4,sp1.ghatREL1,random
gy_cs10_a2_cv4_sp2.ghatREL1,0.0436874336698836,0.209015390988041,gy,cs10,a2,cv4,sp2.ghatREL1,random
gy_cs10_a2_cv4_sp3.ghatREL1,0.569441497882724,0.754613475815748,gy,cs10,a2,cv4,sp3.ghatREL1,random
gy_cs10_a2_cv4_sp4.ghatREL1,0.038566303432277,0.196383052813314,gy,cs10,a2,cv4,sp4.ghatREL1,random
gy_cs10_a2_cv4_sp5.ghatREL1,0.21272934565755,0.461225916073187,gy,cs10,a2,cv4,sp5.ghatREL1,random
gy_cs10_a2_cv4_sp6.ghatREL1,0.257788268088563,0.507728537792158,gy,cs10,a2,cv4,sp6.ghatREL1,random
gy_cs10_a2_cv4_sp7.ghatREL1,0.172880312046651,0.41578878297358,gy,cs10,a2,cv4,sp7.ghatREL1,random
gy_cs10_a2_cv4_sp8.ghatREL1,0.717669316704046,0.847153655899593,gy,cs10,a2,cv4,sp8.ghatREL1,random
gy_cs10_a2_cv4_sp9.ghatREL1,0.31267073755952,0.559169685837421,gy,cs10,a2,cv4,sp9.ghatREL1,random
gy_cs10_a2_cv5_sp10.ghatREL1,0.352488187436559,0.593707156295559,gy,cs10,a2,cv5,sp10.ghatREL1,random
gy_cs10_a2_cv5_sp1.ghatREL1,0.341512165867817,0.584390422464141,gy,cs10,a2,cv5,sp1.ghatREL1,random
gy_cs10_a2_cv5_sp2.ghatREL1,0.561652060706226,0.749434493939414,gy,cs10,a2,cv5,sp2.ghatREL1,random
gy_cs10_a2_cv5_sp3.ghatREL1,0.460326301215735,0.678473508116371,gy,cs10,a2,cv5,sp3.ghatREL1,random
gy_cs10_a2_cv5_sp4.ghatREL1,0.669826934726211,0.818429553917875,gy,cs10,a2,cv5,sp4.ghatREL1,random
gy_cs10_a2_cv5_sp5.ghatREL1,0.539212629871423,0.734310989888769,gy,cs10,a2,cv5,sp5.ghatREL1,random
gy_cs10_a2_cv5_sp6.ghatREL1,0.0781463550672307,0.279546695682905,gy,cs10,a2,cv5,sp6.ghatREL1,random
gy_cs10_a2_cv5_sp7.ghatREL1,0.424917511409603,0.651856971589323,gy,cs10,a2,cv5,sp7.ghatREL1,random
gy_cs10_a2_cv5_sp8.ghatREL1,0.409947501791789,0.640271428217587,gy,cs10,a2,cv5,sp8.ghatREL1,random
gy_cs10_a2_cv5_sp9.ghatREL1,0.383750467333735,0.619475961869171,gy,cs10,a2,cv5,sp9.ghatREL1,random
gy_cs10_d2_cv1_sp10.ghatREL1,0.282377620169823,0.531392152905764,gy,cs10,d2,cv1,sp10.ghatREL1,random
gy_cs10_d2_cv1_sp1.ghatREL1,0.317229621197311,0.563231409988214,gy,cs10,d2,cv1,sp1.ghatREL1,random
gy_cs10_d2_cv1_sp2.ghatREL1,0.213297209864452,0.461841108894014,gy,cs10,d2,cv1,sp2.ghatREL1,random
gy_cs10_d2_cv1_sp3.ghatREL1,0.172827210773456,0.415724922001864,gy,cs10,d2,cv1,sp3.ghatREL1,random
gy_cs10_d2_cv1_sp4.ghatREL1,0.492346155358239,0.701673824050918,gy,cs10,d2,cv1,sp4.ghatREL1,random
gy_cs10_d2_cv1_sp5.ghatREL1,0.593910007644069,0.770655570046742,gy,cs10,d2,cv1,sp5.ghatREL1,random
gy_cs10_d2_cv1_sp6.ghatREL1,0.702791159629703,0.838326403991729,gy,cs10,d2,cv1,sp6.ghatREL1,random
gy_cs10_d2_cv1_sp7.ghatREL1,0.271586711381645,0.521139819416675,gy,cs10,d2,cv1,sp7.ghatREL1,random
gy_cs10_d2_cv1_sp8.ghatREL1,0.369815268921061,0.608124386060172,gy,cs10,d2,cv1,sp8.ghatREL1,random
gy_cs10_d2_cv1_sp9.ghatREL1,0.308061882755233,0.555033226712809,gy,cs10,d2,cv1,sp9.ghatREL1,random
gy_cs10_d2_cv2_sp10.ghatREL1,0.379103443361441,0.615713767396378,gy,cs10,d2,cv2,sp10.ghatREL1,random
gy_cs10_d2_cv2_sp1.ghatREL1,0.116539393130695,0.341378665312722,gy,cs10,d2,cv2,sp1.ghatREL1,random
