file,R2,r,trait,mode,cv,sp
dtp_1a2_cv3_sp1.ghatREL1,0.280251161239101,0.529387534079809,dtp,1a2,cv3,sp1.ghatREL1
dtp_1a2_cv3_sp2.ghatREL1,0.0787137907950677,0.280559781143106,dtp,1a2,cv3,sp2.ghatREL1
dtp_1a2_cv3_sp3.ghatREL1,0.183111385839564,0.427915161965037,dtp,1a2,cv3,sp3.ghatREL1
dtp_1a2_cv3_sp4.ghatREL1,0.319429212426677,0.565180690068828,dtp,1a2,cv3,sp4.ghatREL1
dtp_1a2_cv3_sp5.ghatREL1,0.04221493923613,-0.205462744156039,dtp,1a2,cv3,sp5.ghatREL1
dtp_1a2_cv3_sp6.ghatREL1,0.108240939213941,0.328999907619958,dtp,1a2,cv3,sp6.ghatREL1
dtp_1a2_cv3_sp7.ghatREL1,0.198415584091102,0.445438642341571,dtp,1a2,cv3,sp7.ghatREL1
dtp_1a2_cv3_sp8.ghatREL1,0.014573366966437,-0.120720201153067,dtp,1a2,cv3,sp8.ghatREL1
dtp_1a2_cv3_sp9.ghatREL1,0.000842150598008113,-0.0290198311161198,dtp,1a2,cv3,sp9.ghatREL1
dtp_1a2_cv4_sp10.ghatREL1,0.208368781637222,0.456474294607289,dtp,1a2,cv4,sp10.ghatREL1
dtp_1a2_cv4_sp1.ghatREL1,0.232283886550364,0.481958386741391,dtp,1a2,cv4,sp1.ghatREL1
dtp_1a2_cv4_sp2.ghatREL1,0.0538617351773964,0.23208131156428,dtp,1a2,cv4,sp2.ghatREL1
dtp_1a2_cv4_sp3.ghatREL1,0.0786343021872155,0.280418084629389,dtp,1a2,cv4,sp3.ghatREL1
dtp_1a2_cv4_sp4.ghatREL1,0.0257342719814628,0.160419051179911,dtp,1a2,cv4,sp4.ghatREL1
dtp_1a2_cv4_sp5.ghatREL1,0.0294249996710694,-0.171537167025311,dtp,1a2,cv4,sp5.ghatREL1
dtp_1a2_cv4_sp6.ghatREL1,0.067876606514561,0.260531392570187,dtp,1a2,cv4,sp6.ghatREL1
dtp_1a2_cv4_sp7.ghatREL1,0.138523026397621,0.372186816528502,dtp,1a2,cv4,sp7.ghatREL1
dtp_1a2_cv4_sp8.ghatREL1,0.178124456267841,0.422047931244593,dtp,1a2,cv4,sp8.ghatREL1
dtp_1a2_cv4_sp9.ghatREL1,0.208935633166428,0.457094774818558,dtp,1a2,cv4,sp9.ghatREL1
dtp_1a2_cv5_sp10.ghatREL1,0.162005047269418,0.40249850592197,dtp,1a2,cv5,sp10.ghatREL1
dtp_1a2_cv5_sp1.ghatREL1,0.00492855378922496,0.0702036593720367,dtp,1a2,cv5,sp1.ghatREL1
dtp_1a2_cv5_sp2.ghatREL1,0.371020732576344,0.609114712165405,dtp,1a2,cv5,sp2.ghatREL1
dtp_1a2_cv5_sp3.ghatREL1,0.118624373603038,0.34441889263372,dtp,1a2,cv5,sp3.ghatREL1
dtp_1a2_cv5_sp4.ghatREL1,0.497391164925777,0.705259643624798,dtp,1a2,cv5,sp4.ghatREL1
dtp_1a2_cv5_sp5.ghatREL1,0.0346659046447296,-0.186187820881844,dtp,1a2,cv5,sp5.ghatREL1
dtp_1a2_cv5_sp6.ghatREL1,0.122575114439426,0.350107289897577,dtp,1a2,cv5,sp6.ghatREL1
dtp_1a2_cv5_sp7.ghatREL1,0.229304783598717,0.478857790579539,dtp,1a2,cv5,sp7.ghatREL1
dtp_1a2_cv5_sp8.ghatREL1,0.348737701969223,0.590540178115954,dtp,1a2,cv5,sp8.ghatREL1
dtp_1a2_cv5_sp9.ghatREL1,0.0334287106550198,0.182835200809417,dtp,1a2,cv5,sp9.ghatREL1
dtp_1d2_cv1_sp10.ghatREL1,0.794456224805431,0.891322738858059,dtp,1d2,cv1,sp10.ghatREL1
dtp_1d2_cv1_sp1.ghatREL1,0.581173818304056,0.762347570537256,dtp,1d2,cv1,sp1.ghatREL1
dtp_1d2_cv1_sp2.ghatREL1,0.474618252509335,0.688925433199657,dtp,1d2,cv1,sp2.ghatREL1
