file,R2,r,trait,mode,cv,sp
asi_4a2_cv5_sp7.ghatREL1,0.752661830389571,0.867560851116261,asi,4a2,cv5,sp7.ghatREL1
asi_4a2_cv5_sp8.ghatREL1,0.270923306210917,0.520502935833139,asi,4a2,cv5,sp8.ghatREL1
asi_4a2_cv5_sp9.ghatREL1,0.353952048669302,0.594938693202335,asi,4a2,cv5,sp9.ghatREL1
asi_4d2_cv1_sp10.ghatREL1,0.309736269929504,0.55653954929502,asi,4d2,cv1,sp10.ghatREL1
asi_4d2_cv1_sp1.ghatREL1,0.324620275793155,0.569754575052412,asi,4d2,cv1,sp1.ghatREL1
asi_4d2_cv1_sp2.ghatREL1,0.53669236182331,0.732592903202938,asi,4d2,cv1,sp2.ghatREL1
asi_4d2_cv1_sp3.ghatREL1,0.206730413079341,0.45467616286687,asi,4d2,cv1,sp3.ghatREL1
asi_4d2_cv1_sp4.ghatREL1,0.372730186462742,0.610516327760971,asi,4d2,cv1,sp4.ghatREL1
asi_4d2_cv1_sp5.ghatREL1,0.577488370077056,0.759926555712495,asi,4d2,cv1,sp5.ghatREL1
asi_4d2_cv1_sp6.ghatREL1,0.333655614512853,0.577629305448445,asi,4d2,cv1,sp6.ghatREL1
asi_4d2_cv1_sp7.ghatREL1,0.125033116090766,0.353600220716512,asi,4d2,cv1,sp7.ghatREL1
asi_4d2_cv1_sp8.ghatREL1,0.541462745154824,0.735841521765947,asi,4d2,cv1,sp8.ghatREL1
asi_4d2_cv1_sp9.ghatREL1,0.169091092259207,0.41120687282584,asi,4d2,cv1,sp9.ghatREL1
asi_4d2_cv2_sp10.ghatREL1,0.823249425742746,0.907330935074268,asi,4d2,cv2,sp10.ghatREL1
asi_4d2_cv2_sp1.ghatREL1,0.525589872949649,0.724975774043278,asi,4d2,cv2,sp1.ghatREL1
asi_4d2_cv2_sp2.ghatREL1,0.31573130603029,0.561899729516121,asi,4d2,cv2,sp2.ghatREL1
asi_4d2_cv2_sp3.ghatREL1,0.201665527756659,0.449071851441013,asi,4d2,cv2,sp3.ghatREL1
asi_4d2_cv2_sp4.ghatREL1,0.128552521319585,0.358542216927916,asi,4d2,cv2,sp4.ghatREL1
asi_4d2_cv2_sp5.ghatREL1,0.0735241663290915,0.271153399995448,asi,4d2,cv2,sp5.ghatREL1
asi_4d2_cv2_sp6.ghatREL1,0.322222462993715,0.56764642427634,asi,4d2,cv2,sp6.ghatREL1
asi_4d2_cv2_sp7.ghatREL1,0.268625987077393,0.518291411348281,asi,4d2,cv2,sp7.ghatREL1
asi_4d2_cv2_sp8.ghatREL1,0.34178116614418,0.584620531750451,asi,4d2,cv2,sp8.ghatREL1
asi_4d2_cv2_sp9.ghatREL1,0.427896236568413,0.654137781028135,asi,4d2,cv2,sp9.ghatREL1
asi_4d2_cv3_sp10.ghatREL1,0.161150012644227,0.401434941982168,asi,4d2,cv3,sp10.ghatREL1
asi_4d2_cv3_sp1.ghatREL1,0.184278243844879,0.429276418924775,asi,4d2,cv3,sp1.ghatREL1
asi_4d2_cv3_sp2.ghatREL1,0.494557523479141,0.703247839299305,asi,4d2,cv3,sp2.ghatREL1
asi_4d2_cv3_sp3.ghatREL1,0.785286824131874,0.886164106772484,asi,4d2,cv3,sp3.ghatREL1
asi_4d2_cv3_sp4.ghatREL1,0.455337490043999,0.67478699605431,asi,4d2,cv3,sp4.ghatREL1
asi_4d2_cv3_sp5.ghatREL1,0.446176679166231,0.667964579275152,asi,4d2,cv3,sp5.ghatREL1
asi_4d2_cv3_sp6.ghatREL1,0.528666016874132,0.727094228332293,asi,4d2,cv3,sp6.ghatREL1
asi_4d2_cv3_sp7.ghatREL1,0.485575747177424,0.696832653638895,asi,4d2,cv3,sp7.ghatREL1
asi_4d2_cv3_sp8.ghatREL1,0.506670768072854,0.711808097785389,asi,4d2,cv3,sp8.ghatREL1
asi_4d2_cv3_sp9.ghatREL1,0.479290220783479,0.69230789449744,asi,4d2,cv3,sp9.ghatREL1
asi_4d2_cv4_sp10.ghatREL1,0.387655103545109,0.622619549600805,asi,4d2,cv4,sp10.ghatREL1
asi_4d2_cv4_sp1.ghatREL1,0.469261239668484,0.685026451802034,asi,4d2,cv4,sp1.ghatREL1
asi_4d2_cv4_sp2.ghatREL1,0.0947375638354313,0.307794678049234,asi,4d2,cv4,sp2.ghatREL1
asi_4d2_cv4_sp3.ghatREL1,0.467542464344264,0.68377076885771,asi,4d2,cv4,sp3.ghatREL1
asi_4d2_cv4_sp4.ghatREL1,0.403348819954323,0.635097488543549,asi,4d2,cv4,sp4.ghatREL1
asi_4d2_cv4_sp5.ghatREL1,0.585438872169521,0.765139772962771,asi,4d2,cv4,sp5.ghatREL1
asi_4d2_cv4_sp6.ghatREL1,0.588844205000404,0.767361847501167,asi,4d2,cv4,sp6.ghatREL1
asi_4d2_cv4_sp7.ghatREL1,0.504727689210926,0.710441897139327,asi,4d2,cv4,sp7.ghatREL1
asi_4d2_cv4_sp8.ghatREL1,0.181625926054328,0.426175933218111,asi,4d2,cv4,sp8.ghatREL1
asi_4d2_cv4_sp9.ghatREL1,0.319088903212198,0.564879547525132,asi,4d2,cv4,sp9.ghatREL1
asi_4d2_cv5_sp10.ghatREL1,0.0594794918859914,0.243884177194814,asi,4d2,cv5,sp10.ghatREL1
asi_4d2_cv5_sp1.ghatREL1,0.325491105995227,0.570518278405896,asi,4d2,cv5,sp1.ghatREL1
asi_4d2_cv5_sp2.ghatREL1,0.554982014170871,0.744971149891639,asi,4d2,cv5,sp2.ghatREL1
asi_4d2_cv5_sp3.ghatREL1,0.178967101687862,0.423045035058754,asi,4d2,cv5,sp3.ghatREL1
asi_4d2_cv5_sp4.ghatREL1,0.351481782313209,0.592858990244062,asi,4d2,cv5,sp4.ghatREL1
asi_4d2_cv5_sp5.ghatREL1,0.336885625652928,0.580418491825448,asi,4d2,cv5,sp5.ghatREL1
asi_4d2_cv5_sp6.ghatREL1,0.283780207540333,0.532710247264245,asi,4d2,cv5,sp6.ghatREL1
asi_4d2_cv5_sp7.ghatREL1,0.464793354140895,0.681757547916336,asi,4d2,cv5,sp7.ghatREL1
asi_4d2_cv5_sp8.ghatREL1,0.240389987987231,0.490295816815962,asi,4d2,cv5,sp8.ghatREL1
