Hyb,P1,P2,valHyb,valP1,valP2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait,pBPH
hyb27,LH123HT,PHG47,0.064236,-0.896816,-1.683702,0.961,-1.0716,1.748,-0.5708,1.354,-1.3548,ASI,57.08
hyb28,LH123HT,PHG84,-1.243875,-0.896816,-3.518615,-0.347,0.3869,2.275,0.0986,0.964,-1.0305,ASI,-9.86
hyb29,LH123HT,PHJ40,-0.335773,-0.896816,-1.554066,0.561,-0.6255,1.218,-0.361,0.89,-0.9939,ASI,36.1
hyb30,LH123HT,PHZ51,-1.313435,-0.896816,-2.438996,-0.417,0.465,1.126,0.171,0.354,-0.6751,ASI,-17.1
hyb31,LH82,MO17,-1.399462,-0.682811,-4.220733,-0.717,1.0501,2.821,0.1699,1.052,-1.1506,ASI,-16.99
hyb32,LH82,PH207,-1.004486,-0.682811,-2.815722,-0.322,0.4716,1.811,0.1144,0.745,-1.0353,ASI,-11.44
hyb33,LH82,PHG35,-0.128388,-0.682811,-1.199539,0.554,-0.8114,1.071,-0.4618,0.813,-1.1379,ASI,46.18
hyb34,LH82,PHG39,-0.97061,-0.682811,-2.998511,-0.288,0.4218,2.028,0.096,0.87,-1.1018,ASI,-9.6
hyb35,LH82,PHG47,-0.603088,-0.682811,-1.683702,0.08,-0.1172,1.081,-0.0475,0.58,-0.9136,ASI,4.75
hyb36,LH82,PHG84,-0.453589,-0.682811,-3.518615,0.229,-0.3354,3.065,-0.0651,1.647,-1.459,ASI,6.51
hyb37,LH82,PHJ40,-0.370983,-0.682811,-1.554066,0.312,-0.4569,1.183,-0.2008,0.747,-1.0577,ASI,20.08
hyb38,LH82,PHZ51,-1.223232,-0.682811,-2.438996,-0.54,0.7908,1.216,0.2214,0.338,-0.779,ASI,-22.14
hyb39,MO17,PH207,-1.531574,-4.220733,-2.815722,1.284,-0.456,2.689,-0.3042,1.987,-0.7643,ASI,30.42
hyb40,MO17,PHG35,-0.331423,-4.220733,-1.199539,0.868,-0.7236,3.889,-0.2057,2.379,-1.435,ASI,20.57
hyb41,MO17,PHG39,-1.086762,-4.220733,-2.998511,1.912,-0.6376,3.134,-0.453,2.523,-0.8682,ASI,45.3
hyb42,MO17,PHG47,-0.924714,-4.220733,-1.683702,0.759,-0.4508,3.296,-0.1798,2.028,-1.1164,ASI,17.98
hyb43,MO17,PHG84,-1.242714,-4.220733,-3.518615,2.276,-0.6468,2.978,-0.5392,2.627,-0.7696,ASI,53.92
hyb44,MO17,PHJ40,-1.057916,-4.220733,-1.554066,0.496,-0.3192,3.163,-0.1175,1.829,-1.0954,ASI,11.75
hyb45,MO17,PHZ51,-1.441718,-4.220733,-2.438996,0.997,-0.4088,2.779,-0.2362,1.888,-0.8346,ASI,23.62
hyb46,PH207,PHG35,-0.798179,-2.815722,-1.199539,0.401,-0.3343,2.018,-0.1424,1.209,-1.0052,ASI,14.24
hyb47,PH207,PHG39,-1.455754,-2.815722,-2.998511,1.36,-0.483,1.543,-0.4536,1.451,-0.5308,ASI,45.36
hyb48,PH207,PHG47,-0.502735,-2.815722,-1.683702,1.181,-0.7014,2.313,-0.4194,1.747,-1.0281,ASI,41.94
hyb49,PH207,PHG84,-1.287328,-2.815722,-3.518615,1.528,-0.5427,2.231,-0.4343,1.88,-0.7044,ASI,43.43
hyb50,PH207,PHJ40,-0.303235,-2.815722,-1.554066,1.251,-0.805,2.512,-0.4443,1.882,-1.1497,ASI,44.43
hyb51,PH207,PHZ51,-2.291966,-2.815722,-2.438996,0.147,-0.0603,0.524,-0.0522,0.335,-0.1994,ASI,5.22
hyb52,PHG35,PHG39,-0.25762,-1.199539,-2.998511,0.942,-0.7853,2.741,-0.3142,1.841,-1.3058,ASI,31.42
hyb53,PHG35,PHG47,-0.886006,-1.199539,-1.683702,0.314,-0.2618,0.798,-0.1865,0.556,-0.5535,ASI,18.65
hyb54,PHG35,PHG84,-0.950106,-1.199539,-3.518615,0.249,-0.2076,2.569,-0.0708,1.409,-1.089,ASI,7.08
hyb55,PHG35,PHJ40,0.134878,-1.199539,-1.554066,1.334,-1.1121,1.689,-0.8584,1.512,-1.2268,ASI,85.84
hyb56,PHG35,PHZ51,-0.752914,-1.199539,-2.438996,0.447,-0.3726,1.686,-0.1833,1.066,-0.9267,ASI,18.33
hyb57,PHG39,PHG47,-0.55948,-2.998511,-1.683702,1.124,-0.6676,2.439,-0.3749,1.782,-1.0418,ASI,37.49
hyb58,PHG39,PHG84,-0.906606,-2.998511,-3.518615,2.092,-0.6977,2.612,-0.5946,2.352,-0.8016,ASI,59.46
hyb59,PHG39,PHJ40,-0.50687,-2.998511,-1.554066,1.047,-0.6737,2.492,-0.3492,1.769,-1.0948,ASI,34.92
hyb60,PHG39,PHZ51,-1.189343,-2.998511,-2.438996,1.25,-0.5125,1.809,-0.4169,1.529,-0.6654,ASI,41.69
